planning_period,tau,price_EUR_per_MWh
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,0.0
0,14,0.0
0,15,0.0
0,16,0.0
0,17,0.0
0,18,0.0
0,19,0.0
0,20,0.0
0,21,0.0
0,22,0.0
0,23,0.0
0,24,0.0
0,25,0.0
0,26,0.0
0,27,0.0
0,28,0.0
0,29,0.0
0,30,0.0
0,31,0.0
0,32,0.0
0,33,0.0
0,34,0.0
0,35,0.0
0,36,0.0
0,37,0.0
0,38,0.0
0,39,0.0
0,40,0.0
0,41,0.0
0,42,0.0
0,43,0.0
0,44,0.0
0,45,0.0
0,46,0.0
0,47,0.0
0,48,0.0
0,49,0.0
0,50,0.0
0,51,0.0
0,52,0.0
0,53,0.0
0,54,0.0
0,55,0.0
0,56,0.0
0,57,0.0
0,58,0.0
0,59,0.0
0,60,0.0
0,61,0.0
0,62,0.0
0,63,0.0
0,64,0.0
0,65,0.0
0,66,0.0
0,67,0.0
0,68,0.0
0,69,0.0
0,70,0.0
0,71,0.0
0,72,0.0
0,73,0.0
0,74,0.0
0,75,0.0
0,76,0.0
0,77,0.0
0,78,0.0
0,79,0.0
0,80,0.0
0,81,0.0
0,82,0.0
0,83,0.0
0,84,0.0
0,85,0.0
0,86,0.0
0,87,0.0
0,88,0.0
0,89,0.0
0,90,0.0
0,91,0.0
0,92,0.0
0,93,0.0
0,94,0.0
0,95,0.0
0,96,0.0
0,97,0.0
0,98,0.0
0,99,0.0
0,100,0.0
0,101,0.0
0,102,0.0
0,103,0.0
0,104,0.0
0,105,0.0
0,106,0.0
0,107,0.0
0,108,0.0
0,109,0.0
0,110,0.0
0,111,0.0
1,0,41.73
1,1,42.375
1,2,42.795
1,3,45.125
1,4,47.71
1,5,48.21
1,6,47.255
1,7,47.53
1,8,46.095
1,9,46.135
1,10,46.62
1,11,45.14
1,12,43.8
1,13,44.08
1,14,44.03
1,15,47.425
1,16,49.69
1,17,48.945
1,18,46.53
1,19,46.525000000000006
1,20,46.150000000000006
1,21,46.575
1,22,46.715
1,23,43.77
1,24,41.935
1,25,39.370000000000005
1,26,39.83
1,27,43.30500000000001
1,28,47.98
1,29,48.1
1,30,46.835
1,31,46.510000000000005
1,32,46.32
1,33,47.275
1,34,47.695
1,35,46.605
1,36,45.205
1,37,44.75
1,38,45.875
1,39,48.2
1,40,49.56999999999999
1,41,49.3
1,42,49.13
1,43,48.97
1,44,48.81
1,45,48.6
1,46,48.605
1,47,47.345
1,48,44.555
1,49,42.285
1,50,42.45
1,51,46.95
1,52,48.955
1,53,48.9
1,54,48.09
1,55,47.83
1,56,84.295
1,57,84.97999999999999
1,58,84.345
1,59,95.7
1,60,123.165
1,61,91.105
1,62,80.33000000000001
1,63,71.39
1,64,76.97
1,65,86.56
1,66,115.145
1,67,100.6
1,68,89.66499999999999
1,69,90.71
1,70,92.075
1,71,100.86
1,72,141.28
1,73,110.635
1,74,95.455
1,75,93.03
1,76,95.345
1,77,103.76
1,78,109.1
1,79,104.345
1,80,96.48
1,81,94.27
1,82,95.57
1,83,102.4
1,84,141.495
1,85,110.675
1,86,98.88
1,87,98.045
1,88,98.165
1,89,99.03
1,90,96.335
1,91,91.085
1,92,89.86500000000001
1,93,88.57
1,94,87.475
1,95,91.085
1,96,94.39
1,97,91.435
1,98,84.49000000000001
1,99,83.295
1,100,85.14500000000001
1,101,90.36
1,102,93.215
1,103,91.475
1,104,82.36500000000001
1,105,79.735
1,106,81.96000000000001
1,107,82.3
1,108,83.235
1,109,83.55000000000001
1,110,78.21000000000001
1,111,71.62
2,0,45.903
2,1,46.612500000000004
2,2,47.07450000000001
2,3,49.6375
2,4,52.481
2,5,53.031000000000006
2,6,51.980500000000006
2,7,52.28300000000001
2,8,50.7045
2,9,50.7485
2,10,51.282000000000004
2,11,49.654
2,12,48.18
2,13,48.488
2,14,48.43300000000001
2,15,52.167500000000004
2,16,54.659
2,17,53.83950000000001
2,18,51.18300000000001
2,19,51.17750000000001
2,20,50.76500000000001
2,21,51.23250000000001
2,22,51.386500000000005
2,23,48.147000000000006
2,24,46.12850000000001
2,25,43.30700000000001
2,26,43.813
2,27,47.635500000000015
2,28,52.778
2,29,52.910000000000004
2,30,51.5185
2,31,51.16100000000001
2,32,50.952000000000005
2,33,52.002500000000005
2,34,52.4645
2,35,51.2655
2,36,49.725500000000004
2,37,49.225
2,38,50.462500000000006
2,39,53.02000000000001
2,40,54.526999999999994
2,41,54.230000000000004
2,42,54.043000000000006
2,43,53.867000000000004
2,44,53.69100000000001
2,45,53.46000000000001
2,46,53.4655
2,47,52.0795
2,48,49.0105
2,49,46.5135
2,50,46.69500000000001
2,51,51.64500000000001
2,52,53.850500000000004
2,53,53.790000000000006
2,54,52.89900000000001
2,55,52.613
2,56,92.7245
2,57,93.478
2,58,92.77950000000001
2,59,105.27000000000001
2,60,135.4815
2,61,100.2155
2,62,88.36300000000003
2,63,78.52900000000001
2,64,84.667
2,65,95.21600000000001
2,66,126.65950000000001
2,67,110.66
2,68,98.6315
2,69,99.781
2,70,101.28250000000001
2,71,110.94600000000001
2,72,155.40800000000002
2,73,121.69850000000001
2,74,105.0005
2,75,102.33300000000001
2,76,104.87950000000001
2,77,114.13600000000001
2,78,120.01
2,79,114.77950000000001
2,80,106.12800000000001
2,81,103.697
2,82,105.127
2,83,112.64000000000001
2,84,155.64450000000002
2,85,121.7425
2,86,108.768
2,87,107.8495
2,88,107.98150000000001
2,89,108.933
2,90,105.9685
2,91,100.1935
2,92,98.85150000000002
2,93,97.427
2,94,96.2225
2,95,100.1935
2,96,103.82900000000001
2,97,100.5785
2,98,92.93900000000002
2,99,91.62450000000001
2,100,93.65950000000002
2,101,99.396
2,102,102.53650000000002
2,103,100.6225
2,104,90.60150000000002
2,105,87.7085
2,106,90.15600000000002
2,107,90.53
2,108,91.55850000000001
2,109,91.90500000000002
2,110,86.03100000000002
2,111,78.78200000000001
3,0,50.07599999999999
3,1,50.85
3,2,51.354
3,3,54.15
3,4,57.252
3,5,57.852
3,6,56.706
3,7,57.036
3,8,55.314
3,9,55.361999999999995
3,10,55.943999999999996
3,11,54.168
3,12,52.559999999999995
3,13,52.895999999999994
3,14,52.836
3,15,56.91
3,16,59.62799999999999
3,17,58.733999999999995
3,18,55.836
3,19,55.830000000000005
3,20,55.38
3,21,55.89
3,22,56.058
3,23,52.524
3,24,50.322
3,25,47.24400000000001
3,26,47.796
3,27,51.96600000000001
3,28,57.57599999999999
3,29,57.72
3,30,56.202
3,31,55.812000000000005
3,32,55.583999999999996
3,33,56.73
3,34,57.234
3,35,55.925999999999995
3,36,54.245999999999995
3,37,53.699999999999996
3,38,55.05
3,39,57.84
3,40,59.48399999999999
3,41,59.16
3,42,58.956
3,43,58.763999999999996
3,44,58.572
3,45,58.32
3,46,58.32599999999999
3,47,56.814
3,48,53.466
3,49,50.742
3,50,50.940000000000005
3,51,56.34
3,52,58.745999999999995
3,53,58.67999999999999
3,54,57.708
3,55,57.395999999999994
3,56,101.154
3,57,101.97599999999998
3,58,101.214
3,59,114.84
3,60,147.798
3,61,109.32600000000001
3,62,96.39600000000002
3,63,85.66799999999999
3,64,92.36399999999999
3,65,103.872
3,66,138.17399999999998
3,67,120.71999999999998
3,68,107.59799999999998
3,69,108.85199999999999
3,70,110.49
3,71,121.032
3,72,169.536
3,73,132.762
3,74,114.54599999999999
3,75,111.636
3,76,114.414
3,77,124.512
3,78,130.92
3,79,125.214
